,store_name,date,review,photo,length,review_ckeck
0,백억하누 강남본점,2022.1.11,너무 이쁘고 깔끔하게 잘 해놨네요 웃음 고기도 너무 맛있습니다,1,34,너무 이쁘고 깔끔하게 잘해놨네 요 웃음 고기도 너무 맛있습니다
1,백억하누 강남본점,2022.1.11,소고기 너무 맛나요하트 인테리어 분위기 좋네요,1,25,소고기 너무 맛나요 하트 인테리어 분위기 좋네요
2,백억하누 강남본점,2022.1.11,코시국에 룸이 있어 좋습니다,0,15,고 시국에 룸이 있어 좋습니다
3,백억하누 강남본점,2022.1.11,오늘 저녁은투뿔한우로 찐 맛집입니다 웃음,1,22,오늘 저녁은 투뿔 한우로 찐 맛 집입니다 웃음
4,백억하누 강남본점,2022.1.11,룸이 겸비해서 있어 코로나로 부터 안전하게 먹을 수 있어 만족합니다,0,37,룸이 겸비해서 있어 코로나로부터 안전하게 먹을 수 있어 만족합니다
5,백억하누 강남본점,2022.1.11,처음 와봤는데 맛있어서 하나 사갑니다 웃음 웃음,1,26,처음 와봤는데 맛있어서 하나 사 갑니다 웃음 웃음
6,백억하누 강남본점,2022.1.11,백억전복삼합 먹었는데 전복식감이👍👍 훌륭합니다,0,25,백억 전복 삼합 먹었는데 전복 식감이 👍👍 훌륭합니다
7,백억하누 강남본점,2022.1.11,역시 투뿔한우는 달라도 다르네요👍👍👍,1,20,역시 투뿔 한우는 달라도 다르네요 👍👍👍
8,백억하누 강남본점,2022.1.11,분위기 너무 좋아요 웃음,1,13,분위기 너무 좋아 요 웃음
9,백억하누 강남본점,2022.1.11,한우소고기국밥 먹으니 든든하네요 웃음,0,20,한우 소고기 국밥 먹으니 든든하네요 웃음
10,백억하누 강남본점,2022.1.11,육회비빔밥 최고입니다 👍 하트 하트,0,19,육회비빔밥 최고입니다👍 하트하트
11,백억하누 강남본점,2022.1.11,점심으로도 부담 없이 즐길수 있습니다 그래서 더 좋은거 같앙ᆢ,1,34,점심으로도 부담 없이 즐길 수 있습니다 그래서 더 좋은 거 같아ᆢ
12,백억하누 강남본점,2022.1.11,설선물로 딱 제격이네요 웃음 좋아하시니 뿌듯해요,1,26,설 선물로 딱 제격이네 요 웃음 좋아하시니 뿌듯해요
13,백억하누 강남본점,2022.1.11,선물 세트 할인해서 한번 사갑니다 설 선물로 딱 좋을듯 웃음,1,33,선물세트 할인해서 한 번 사 갑니다 설 선물로 딱 좋을 듯 웃음
14,백억하누 강남본점,2022.1.11,비쥬얼 완전 👍 맛도 👍 흠 잡을 곳이 없네요,1,25,비주얼 완전 👍맛도 👍흠잡을 곳이 없네요
15,백억하누 강남본점,2022.1.11,룸이 있어서 코시국에 딱 좋은거 같습니다,0,22,룸이 있어서 고 시국에 딱 좋은 거 같습니다
16,백억하누 강남본점,2022.1.11,설날 부모님 선물은 여기에서 사가봐요 너무 좋아하실듯요 웃음,1,33,설날 부모님 선물은 여기에서 사가 봐 요 너무 좋아하실 듯 요 웃음
17,백억하누 강남본점,2022.1.11,이쁘게 셋팅 잘 해주셔서 좋네요 맛있어요,1,22,이쁘게 세팅 잘해주셔서 좋네요 맛있어요
18,백억하누 강남본점,2022.1.11,오늘 저녁은 여기서 알차게 먹구 갑니다,1,21,오늘 저녁은 여기서 알차게 먹고 갑니다
19,백억하누 강남본점,2022.1.11,맛있게 먹구 갑니다 백억하누,1,15,맛있게 먹구갑니 다 백업 하누
20,백억하누 강남본점,2022.1.11,룸이 있어서 외식하는데 좋습니다 웃음,0,20,룸이 있어서 외식하는데 좋습니다 웃음
21,백억하누 강남본점,2022.1.11,너무 맛있어요 하나사가봅니다 웃음,1,18,너무 맛있어요 하나 사 가 봅니다 웃음
22,백억하누 강남본점,2022.1.11,깔끔하고 청결한 식당입니다 맛있는 곳이네요 웃음,1,26,깔끔하고 청결한 식당입니다 맛있는 곳이네 요 웃음
23,라그릴리아 SPC스퀘어점,2022.1.11,파스타 맛집  너무맛있어요,1,14,파스타 맛집 너무 맛있어요
24,강남진해장,2022.1.11,맛있어요,0,4,맛있어요
25,백억하누 강남본점,2022.1.12,특별한 메뉴로 술한잔하기 좋은 곳입니다 웃음,1,24,특별한 메뉴로 술 한잔하기 좋은 곳입니다 웃음
26,라그릴리아 SPC스퀘어점,2022.1.12,음식이 맛있어요  무난한 맛과 가격이라 소개팅이나 모임장소로 추천합니다,1,39,음식이 맛있어요 무난한 맛과 가격이라 소개팅이나 모임 장소로 추천합니다
27,백억하누 강남본점,2022.1.15,고기상태가 너무 좋았고 6인까지 방문 가능하기때문에 가족들과 함께 다녀왔어요 흡연장소가 따로 마련되어있어서 너무 좋았습니다,0,68,고기 상태가 너무 좋았고 6인까지 방문 가능하기 때문에 가족들과 함께 다녀왔어요 흡연 장소가 따로 마련되어 있어서 너무 좋았습니다
28,백억하누 강남본점,2022.1.15,거리두기 완화로 6인까지 모임 가능해서 가족들이랑 밥 맛나게 먹고 왔네요  웃음 식당도 깔끔하고 분위기도 좋아서 모두 만족했어용 고기도 신선하고 재방문의사 100입니다하트,0,95,거리도 기 완화로 6인까지 모임 가능해서 가족들이랑 밥맛 나게 먹고 왔네 요 웃음 식당도 깔끔하고 분위기도 좋아서 모두 만족했어 용이 고기도 신선하고 재방문의 사 100입니다 하트
29,백억하누 강남본점,2022.1.15,남편이랑 다녀왔는데 너무 좋았어용  웃음 분위기도 좋고 고기도 넘 맛있었습니다 웃음 매장에서 한우선물세트도 구매 가능하대서 이번 설 선물로 한우세트 하려구요  고기질이 대박입니다👍🏼,0,101,남편이랑 다녀왔는데 너무 좋았어 용 웃음 분위기도 좋고 고기도 너무 맛있었습니다 웃음 매장에서 한우 선물세트 도 구매 가능한 대서 이번 설 선물로 한우세트 하려 구요 고기 질이 대박입니다 👍🏼
30,백억하누 강남본점,2022.1.15,등심 갈비살에 삼합까지 완전 퍼팩트였습니다,1,23,등심 갈빗살에 삼합까지 정말 퍼펙트였습니다
31,백억하누 강남본점,2022.1.15,룸이 있어 굉장히 좋은거 같아요 안심하고 잘 먹고 가네요,0,31,룸이 있어 굉장히 좋은 거 같아요 안심하고 잘 먹고 가네요
32,백억하누 강남본점,2022.1.15,너무 맛있네요,0,7,너무 맛있네요
33,라그릴리아 SPC스퀘어점,2022.1.15,맛있어요  근데 매장 넘 춥네요,0,17,맛있어요 근데 매장 너무 춥네요
34,강남진해장,2022.1.15,강남권 양평식해장국 맛집 김치를 직접 담가서 더 맛있네요 웃음,0,34,강남권 양평식 해장국 맛 집 김치를 직접 담가서 더 맛있네 요 웃음
35,강남진해장,2022.1.15,가격대비 좀 아쉽습니다 양지곰탕은 너무 짰고 내장탕은 가격에 비해 건더기가 적었어요 실망,0,49,가격 대비 좀 아쉽습니다 양지 곰탕은 너무 짰고 내장탕은 가격에 비해 건더기가 적었어요 실망
36,강남진해장,2022.1.17,친절하고맛집이네요,0,9,친절하고 맛 집이네요
37,강남진해장,2022.1.17,굿,0,1,굿
38,백억하누 강남본점,2022.1.2,직장 동료들과 술 한잔 하려고 들렀는데 전복 삼합 정말 맛있고 고소했어용 웃음 안주로 너무 좋았고 양도 푸짐하게 주시고 추천드립니당,1,73,직장 동료들과 술 한잔하려고 들렀는데 전복 삼합 정말 맛있고 고소했어 용 웃음 안주로 너무 좋았고 양도 푸짐하게 주시고 추천드립니다
39,백억하누 강남본점,2022.1.2,매장도 청결하고 특별한 날 방문하기 너무 좋은곳입니다 웃음 시댁가족들과 방문했는데 고기 질도 좋고 너무너무 만족해하셨어요 재방문의사 100프로입니다,1,82,매장도 청결하고 특별한 날 방문하기 너무 좋은 곳입니다 웃음 시댁 가족들과 방문했는데 고기 질도 좋고 너무너무 만족해하셨어요 재방문의 사 100 프로입니다
40,백억하누 강남본점,2022.1.2,가족 모임 왔는데 분위기도 넘 좋고 고기도 섬세하게 잘 구워주셔서 좋았습니당 음식도 진짜 맛있네요 하트,1,57,가족 모임 왔는데 분위기도 너무 좋고 고기도 섬세하게 잘 구워주셔서 좋았습니 당 음식도 진짜 맛있네요 하트
