,store_name,date,review,length,review_check,check_length,menu,mood,service,price,clean,room,parking,photo,sum,helpful,맛,맛집,메뉴_음식,친절_직원,때,예약,가격,분위기,추천,store,딘타이펑,백억하누,화기애애,라그릴리아,강남진해장,구스,파파야리프,고양이부엌,시골야채된장,을밀대,담소,청류벽,기리야마,시카고,대려도,신부자,봉추찜닭,리샨,Pavox,삼거리,느린마을,봉피양
0,백억하누 강남본점,2020-01-03,네이버로 예약하고 방문했는데 사정이 있어 조용한 구석자리를 부탁한다고 썼는데도 구석에 조용한자리들이 다 비어있음에도 제일 시끄럽고 붐비는 자리를 잡아줬더군요  다른 자리로 바꿔주면 안되냐고했더니 비어 있는 자리들 2층이 다 비어있음에도 방만 된다고 거기는 2만원 추가로 내라네요 예약시 기본만 먹는걸로 해놨더니 이런 응대를 하는거같네요  부모님 결혼기념일이라 간건데 기분 완전 상하고 직원들 불친절이 심합니다 불러도 오지도 않고 고기도 질기고 상태도 별로  비싸기만하고 너무 별로입니다 혹시나 검색해서 괜찮을거같아서 가시려는 분들 뜯어 말리고 싶습니다 서비스 청결상태 기본 응대 음식상태 전부 최하점 주고싶고 영수증 인증한 객관적 후기입니다,358,네이버로 예약하고 방문했는데 사정이 있어 조용한 구석 자리를 부탁한다고 썼는데도 구석에 조용한 자리들이 다 비어 있음에도 제일 시끄럽고 붐비는 자리를 잡아줬더군요 다른 자리로 바꿔주면 안 되냐고 했더니 비어 있는 자리들 2층이 다 비어 있음에도 방만된다고 거기는 2만원 추가로 내라네요 예약 시 기본만 먹는 걸로 해 놨더니 이런 응대를 하는 거 같네요 부모님 결혼기념일이라 간 건데 기분 정말 상하고 직원들 불친절이 심합니다 불러도 오지도 않고 고기도 질기고 상태도 별로 비싸기만하고 너무 별로입니다 혹시나 검색해서 괜찮을 거 같아서 가시려는 분들 뜯어말리고 싶습니다 서비스 청결 상태 기본 응대 음식 상태 전부 최하점 주고 싶고 영수증 인증한 객관적 후기입니다,370,1,1,1,1,1,1,0,0,6,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,강남진해장,2022-04-05,일반적인 양평해장국과 다르게  기본 간이 되어있고 베이스가 육개장과 뼈해장국같은 느낌의 칼칼한 맛이 살아있다    남녀노소 모두 선호할 맛이고  장사가 잘되어 식자재회전이 좋아서  내장부터 야채까지 신선하여 거절 할 게 없을 맛이다    주문하고 5분안으로 나오는 음식속도와  가격대가 좀 있지만 양 또한 많아 성인남성이 먹어도 충분히 배가 부른 양이다    점심식사저녁식사술자리1차2차3차가 모두 가능한 매장이고 단체 십수명이 한번에 와도 받아낼 수 있을 쾌적한 공간이 마련되어 있다    다만 해장국의 단점을 꼽자면 고추기름등 자극적이고 고열량의 내장등이 있어서인지 먹고나면 속이 살짝 더부룩함을 느낄 수 있다,343,일반적인 양평 해장국과 다르게 기본 간이 되어 있고 베이스가 육개장과 뼈해장국 같은 느낌의 칼칼한 맛이 살아 있다 남녀노소 모두 선호할 맛이고 장사가 잘 되어 식자재 회전이 좋아서 내장부터 야채까지 신선하여 거절할 게 없을 맛이 다 주문하고 5분 안으로 나오는 음식 속도와 가격대가 좀 있지만 양 또한 많아 성인 남성이 먹어도 충분히 배가 부른 양이다 점심 식사 저녁 식사술 자리 1차 2차 3차가 모두 가능한 매장이고 단체 십수 명이 한 번에 와도 받아낼 수 있을 쾌적한 공간이 마련되어 있다 다만 해장국의 단점을 꼽자면 고추기름 등 자극적이고 고열량의 내장 등이 있어서인지 먹고 나면 속이 살짝 더부룩함을 느낄 수 있다,348,1,1,1,1,0,1,0,1,6,1,1,0,1,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,백억하누 강남본점,2022-05-07,개인룸이 있고 룸안에 화장실이 있어  너무 편하고 좋았는데 옆에 개인 서랍이 있는지  직원분 한분이 노크도 없이 들어오고 왔다갔다  하는게 계속 신경 쓰이고 불편했네요  룸으로 괜히 돈주고 잡은건 아닌데요  그거말고는 메인으로 서빙해주시는 분은 친절하시고  음식도 맛있고 양도 많고 괜찮았어요,163,개인 룸이 있고 룸 안에 화장실이 있어 너무 편하고 좋았는데 옆에 개인 서랍이 있는지 직원분 한 분이 노크도 없이 들어오고 왔다 갔다 하는 게 계속 신경 쓰이고 불편했네요 룸으로 괜히 돈 주고 잡은 건 아닌데요 그거 말고는 메인으로 서빙해주시는 분은 친절하시고 음식도 맛있고 양도 많고 괜찮았어요,165,1,1,1,0,1,1,0,1,6,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,딘타이펑 강남점,2019-11-21,분위기도 괜찮고 맛있어요 네이버예약 덕분에 에이드도 서비스로 나왔네요 가격은 비싸지만 한번쯤 가볼만 합니다,59,분위기도 괜찮고 맛있어요 네이버예약 덕분에 에이드도 서비스로 나왔네요 가격은 비싸지만 한 번쯤 가볼만합니다,59,1,1,1,1,0,1,0,1,6,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,백억하누 강남본점,2021-05-25,룸으로 이용했는데 화장실도 딸려있어서 너무 편했어요 삼합 재료들이 신선해서 생각보다 맛있었구요 음식은 5점이에요 다만 창 옆에 나무들이 우거지다보니 창을 열고 있으니 모기가 너무 많이 들어오더라구요 방충망을 설치해주시던지 모기퇴치제라도 비치하면 좋지 않을까싶네요 그리고 결제시에 포인트 적립이 카드 분할 결제할땐 왜 안될까요 포인트 적립되는 타 매장들은 분할 결제시에도 포인트 적립 문제없었는데 이런 적은 처음봤어요 그래서 별 하나는 뺐습니다 두가지만 개선되면 자주갈꺼같아요,265,룸으로 이용했는데 화장실도 딸려 있어서 너무 편했어요 삼합 재료들이 신선해서 생각보다 맛있었고 음식은 5점이에요 다만 창 옆에 나무들이 우거지다보니 창을 열고 있으니 모기가 너무 많이 들어오더라고요 방충망을 설치해주시던지 모기 퇴치제라도 비치하면 좋지 않을까 싶네요 그리고 결제 시에 포인트 적립이 카드 분할 결제할 땐 왜 안 될까요 포인트 적립되는 타 매장들은 분할 결제 시에도 포인트 적립 문제없었는데 이런 적은 처음 봤어요 그래서 별 하나는 뺐습니다 두 가지만 개선되면 자주 갈 거 같아요,276,1,1,0,1,1,1,0,1,6,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,백억하누 강남본점,2019-11-21,네이버로 예약하니 편하네요 서비스도 받고 장사가 잘되는데는 이유가 있는거 같아요 웃음 재료도 상싱하고 깨끗한 곳이라서 기분좋게 잘 먹고가요,77,네이버로 예약하니 편하네요 서비스도 받고 장사가 잘 되는 데는 이유가 있는 거 같아 웃음 재료도 싱싱하고 깨끗한 곳이라서 기분 좋게 잘 먹고 가요,81,1,1,1,0,1,1,0,0,5,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,삼거리포차,2019-12-31,안주나 술의 가격에 비해 맛이나 양 테이블 간의 간격 화장실 상태 등 다 아쉬웠어요 실망 특히 주방쪽 테이블은 너무 좁아서 화장실 갈 때 스타킹 다 튿어집니당 다만 위치가 좋고 직원 분들이 친절하셔요 시끌벅적하고 사람 많은 곳 좋아하시면 추천,135,안주나 술의 가격에 비해 맛이나 양 테이블 간의 간격 화장실 상태 등 다 아쉬웠어요 실망 특히 주방 쪽 테이블은 너무 좁아서 화장실 갈 때 스타킹 다 튿어집니다 달다만 위치가 좋고 직원분들이 친절하셔요 시끌벅적하고 사람 많은 곳 좋아하시면 추천,136,1,1,1,1,1,0,0,0,5,1,1,0,0,1,1,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,화기애애 강남역점,2019-12-05,가격에 비해 음식 분위기 친절까지 만족 하고 갑니다  다만 주차가 안되는건 좀 아쉽네요,48,가격에 비해 음식 분위기 친절까지 만족하고 갑니다 다만 주차가 안 되는 건 좀 아쉽네요,48,1,1,1,1,0,0,1,0,5,1,0,0,1,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,딘타이펑 강남점,2019-06-04,가격도 좋고 정말 맛있게 먹었어요   예약하니까 자리도 좋은자리 배정받아서 더 기분 좋았습니다,52,가격도 좋고 정말 맛있게 먹었어요 예약하니까 자리도 좋은 자리 배정받아서 더 기분 좋았습니다,51,1,1,1,1,0,1,0,0,5,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,느린마을양조장 강남점,2020-11-14,음식이 깔끔하고 장소가 넓어서 모임갖기 좋아요  다만 술 무한리필 주문시 라스트오더를 안알려줘서 마지막에 어이없이 나왔어요,68,음식이 깔끔하고 장소가 넓어서 모임 갖기 좋아요 다만 술 무한리필 주문 시 라스트 오더를 안 알려줘서 마지막에 어이없이 나왔어요,71,1,1,0,1,1,1,0,0,5,1,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
