store_name,date,review,length,review_check,menu,mood,service,price,clean,room,parking,photo,sum
화기애애 강남역점,2018.12.1,4명이서 5인분 이라고 되어있는 모듬 대를 시켰습니다  고기는 괜찮았고 양은 조금 적었습니다  저희가 시킨 모듬 가격은 6만원대로 기억합니다  가격을 생각하면 좋은 듯 합니다  저희는 지하1층으로 안내를 받았습니다  고기집이지만 분위기도 좋아보여 예약했지만 음 여느고기집과 비슷하다는 느낌을 받았고  지하1층은 환기가 잘 안되어 연기가 많았고 고기냄새가 많이 베었습니다  전체적으로 나쁘지 않다 정도의 느낌입니다  웨이팅이 정말 많으니 꼭 예약하고 가세요,254,4명이서 5인분이라고 되어 있는 모둠대를 시켰습니다 고기는 괜찮았고 양은 조금 적었습니다 저희가 시킨 모둠 가격은 6만원대로 기억합니다 가격을 생각하면 좋은 듯합니다 저희는 지하 1층으로 안내를 받았습니다 고기집이지만 분위기도 좋아 보여요 예약했지만 음이 여느 고깃집과 비슷하다는 느낌을 받았고 지하 1층은 환기가 잘 안되어 연기가 많았고 고기 냄새가 많이 배었습니다 전체적으로 나쁘지 않다 정도의 느낌입니다 웨이팅이 정말 많으니 꼭 예약하고 가세요,1,1,1,1,1,1,0,0,6
화기애애 강남역점,2019.3.19,가격대비 고기도 맛있고 직원도 친절하고 우리가 인원이 많아 시끄러울까봐 룸을 부탁드렸는데 룸이없어 지하로 잡아주셨는데 사람도없고 편하게 얘기할수있어서 좋았어요 단점은 주차장이없어 좀 불편한데 담엔 대중교통을 이용하려고요,122,가격 대비 고기도 맛있고 직원도 친절하고 우리가 인원이 많아 시끄러울까 봐 룸을 부탁드렸는데 룸이 없어 지하로 잡아주셨는데 사람도 없고 편하게 얘기할 수 있어서 좋았어요 단점은 주차장이 없어 좀 불편한 데 담엔 대중교통을 이용하려고요,1,1,1,1,0,1,1,0,6
백억하누 강남본점,2020.1.3,네이버로 예약하고 방문했는데 사정이 있어 조용한 구석자리를 부탁한다고 썼는데도 구석에 조용한자리들이 다 비어있음에도 제일 시끄럽고 붐비는 자리를 잡아줬더군요  다른 자리로 바꿔주면 안되냐고했더니 비어 있는 자리들 2층이 다 비어있음에도 방만 된다고 거기는 2만원 추가로 내라네요 예약시 기본만 먹는걸로 해놨더니 이런 응대를 하는거같네요  부모님 결혼기념일이라 간건데 기분 완전 상하고 직원들 불친절이 심합니다 불러도 오지도 않고 고기도 질기고 상태도 별로  비싸기만하고 너무 별로입니다 혹시나 검색해서 괜찮을거같아서 가시려는 분들 뜯어 말리고 싶습니다 서비스 청결상태 기본 응대 음식상태 전부 최하점 주고싶고 영수증 인증한 객관적 후기입니다,358,네이버로 예약하고 방문했는데 사정이 있어 조용한 구석 자리를 부탁한다고 썼는데도 구석에 조용한 자리들이 다 비어 있음에도 제일 시끄럽고 붐비는 자리를 잡아줬더군요 다른 자리로 바꿔주면 안 되냐고 했더니 비어 있는 자리들 2층이 다 비어 있음에도 방만된다고 거기는 2만원 추가로 내라네요 예약 시 기본만 먹는 걸로 해 놨더니 이런 응대를 하는 거 같네요 부모님 결혼기념일이라 간 건데 기분 정말 상하고 직원들 불친절이 심합니다 불러도 오지도 않고 고기도 질기고 상태도 별로 비싸기만하고 너무 별로입니다 혹시나 검색해서 괜찮을 거 같아서 가시려는 분들 뜯어말리고 싶습니다 서비스 청결 상태 기본 응대 음식 상태 전부 최하점 주고 싶고 영수증 인증한 객관적 후기입니다,1,1,1,1,1,1,0,0,6
강남진해장,2022.4.5,일반적인 양평해장국과 다르게  기본 간이 되어있고 베이스가 육개장과 뼈해장국같은 느낌의 칼칼한 맛이 살아있다    남녀노소 모두 선호할 맛이고  장사가 잘되어 식자재회전이 좋아서  내장부터 야채까지 신선하여 거절 할 게 없을 맛이다    주문하고 5분안으로 나오는 음식속도와  가격대가 좀 있지만 양 또한 많아 성인남성이 먹어도 충분히 배가 부른 양이다    점심식사저녁식사술자리1차2차3차가 모두 가능한 매장이고 단체 십수명이 한번에 와도 받아낼 수 있을 쾌적한 공간이 마련되어 있다    다만 해장국의 단점을 꼽자면 고추기름등 자극적이고 고열량의 내장등이 있어서인지 먹고나면 속이 살짝 더부룩함을 느낄 수 있다,343,일반적인 양평 해장국과 다르게 기본 간이 되어 있고 베이스가 육개장과 뼈해장국 같은 느낌의 칼칼한 맛이 살아 있다 남녀노소 모두 선호할 맛이고 장사가 잘 되어 식자재 회전이 좋아서 내장부터 야채까지 신선하여 거절할 게 없을 맛이 다 주문하고 5분 안으로 나오는 음식 속도와 가격대가 좀 있지만 양 또한 많아 성인 남성이 먹어도 충분히 배가 부른 양이다 점심 식사 저녁 식사술 자리 1차 2차 3차가 모두 가능한 매장이고 단체 십수 명이 한 번에 와도 받아낼 수 있을 쾌적한 공간이 마련되어 있다 다만 해장국의 단점을 꼽자면 고추기름 등 자극적이고 고열량의 내장 등이 있어서인지 먹고 나면 속이 살짝 더부룩함을 느낄 수 있다,1,1,1,1,0,1,0,1,6
백억하누 강남본점,2022.5.7,개인룸이 있고 룸안에 화장실이 있어  너무 편하고 좋았는데 옆에 개인 서랍이 있는지  직원분 한분이 노크도 없이 들어오고 왔다갔다  하는게 계속 신경 쓰이고 불편했네요  룸으로 괜히 돈주고 잡은건 아닌데요  그거말고는 메인으로 서빙해주시는 분은 친절하시고  음식도 맛있고 양도 많고 괜찮았어요,163,개인 룸이 있고 룸 안에 화장실이 있어 너무 편하고 좋았는데 옆에 개인 서랍이 있는지 직원분 한 분이 노크도 없이 들어오고 왔다 갔다 하는 게 계속 신경 쓰이고 불편했네요 룸으로 괜히 돈 주고 잡은 건 아닌데요 그거 말고는 메인으로 서빙해주시는 분은 친절하시고 음식도 맛있고 양도 많고 괜찮았어요,1,1,1,0,1,1,0,1,6
화기애애 강남역점,2018.10.29,근처에서 회사를 다니는 친구의 강력한 추천으로 저희는 1년만의 대학동기 모임을 화기애애에서 하게 되었습니다 추천하고 실패해 본적 없다는 친구의 말이 왜 그런지 금방 알게 되었습니다 고급스러우면서도 부담스럽지 않은 분위기 친절한 점장님과 직원들제가 LA에 살 때 느꼈던 그런 서비스 자본주의 미소 오랜만에 경험했습니다 웃음 무엇보다 고기가 너무 맛있습니다 입에서 녹아요 녹아 웃음 화기애애 강남점 방문하시면 마지막으로 계산하실 때 놀라실 겁니다 가성비 끝판왕입니다 저는 이번 주말에 여친님 모시고 다시 갈 계획입니다 제 점수는요 5점 만점에 5점 입니다,308,근처에서 회사를 다니는 친구의 강력한 추천으로 저희는 1년 만의 대학 동기 모임을 화기애애에서 하게 되었습니다 추천하고 실패해 본 적 없다는 친구의 말이 왜 그런 지 금방 알게 되었습니다고 급스러우면서도 부담스럽지 않은 분위기 친절한 점장님과 직원들 제가 LA에 살 때 느꼈던 그런 서비스 자본주의 미소 오랜만에 경험했습니다 웃음 무엇보다 고기가 너무 맛있습니다 입에서 녹아요 녹아웃 음에 화기애애 강남점 방문하시면 마지막으로 계산하실 때 놀라 실 겁니다 가성비 끝판왕입니다 저는 이번 주말에 여자친구님 모시고 다시 갈 계획입니다 제 점수는 5점 만점에 5점입니다,1,1,1,1,0,1,0,1,6
딘타이펑 강남점,2018.5.11,진짜 너무너무너무 맛있었어요 좋아요 중국유학시절에 먹었던 맛과 비슷하면서도 그냥 맛있는 맛이에요조금 더 깔끔하고 퓨전중국식이라 할까요 그냥 정말 맛있는 음식먹고 힐링하는 기분남편 생일이라 친구들이랑 네명이서 가서 좀 많이 시키긴 햇어요 웃음남편이 생일이기두 하고 아직 중국음식 잘 몰라서 다 맛보게 해주고 싶어서 다양한 메뉴를 시켜서 먹어봤는데 진짜 맛있게 잘 먹었습니다직원분들도 친절하고 좋으신데 정말조금 아쉬운점은 저희가 금밤에 가서 그런지 손님이 많아서 음식이 조금 늦게 나왓어요 실망 저는 흐름이 끊기면 좀 많이 못 먹는 스타일이라 그게 좀 아쉬웟고 주차도 옆에 주차장이랑 좀 햇갈리게 해놔서 실망 음식도 늦게 나오는 바람에 주차비만 12000원 따로내고 왔네요 그래도 담엔 잘 찾아서 갈거에요,392,진짜 너무너무너무 맛있었어요 좋아요 중국 유학 시절에 먹었던 맛과 비슷하면서도 그냥 맛있는 맛이에요 조금 더 깔끔하고 퓨전 중국식이라 할까요 그냥 정말 맛있는 음식 먹고 힐링하는 기분 남편 생일이라 친구들이랑 네 명이 써가서 좀 많이 시키긴 했어요 웃음 남편이 생일이기도 하고 아직 중국 음식 잘 몰라서 다 맛보게 해주고 싶어서 다양한 메뉴를 시켜서 먹어봤는데 진짜 맛있게 잘 먹었습니다 직원분들도 친절하고 좋으신데 정말 조금 아쉬운 점은 저희가 금박에 가서 그런지 손님이 많아 서 음식이 조금 늦게 나왔어요 실망 저는 흐름이 끊기면 좀 많이 못 먹는 스타일이라 그게 좀 아쉬웠고 주차도 옆에 주차장이랑 좀 헷갈리게 해놔서 실망 음식도 늦게 나오는 바람에 주차비만 12000원 따로 내고 왔네요 그래도 담엔 잘 찾아서 갈 거예요,1,0,1,1,0,1,1,1,6
느린마을양조장 강남점,2018.8.15,예약하고 갔더니 안쪽에 문 달린 조용한 방으로 안내해 주셔서 좋았습니다 막걸리는 겨울 맛을 보고 싶었는데 없어서 여름가을 마셨어요 막걸리 맛도 좋고 안주도 맛있어요 다만 안주에 같이 나오는 파채는 추가시 5000원 추가예요,125,예약하고 갔더니 안쪽에 문 달린 조용한 방으로 안내해 주셔서 좋았습니다 막걸리는 겨울 맛을 보고 싶었는데 없어서 여름 가을 마셨어요 막걸리 맛도 좋고 안주도 맛있어요 다만 안주에 같이 나오는 파채는 추가 시 5000원 추가예요,1,1,1,1,0,1,0,1,6
딘타이펑 강남점,2019.11.21,분위기도 괜찮고 맛있어요 네이버예약 덕분에 에이드도 서비스로 나왔네요 가격은 비싸지만 한번쯤 가볼만 합니다,59,분위기도 괜찮고 맛있어요 네이버예약 덕분에 에이드도 서비스로 나왔네요 가격은 비싸지만 한 번쯤 가볼만합니다,1,1,1,1,0,1,0,1,6
백억하누 강남본점,2021.5.25,룸으로 이용했는데 화장실도 딸려있어서 너무 편했어요 삼합 재료들이 신선해서 생각보다 맛있었구요 음식은 5점이에요 다만 창 옆에 나무들이 우거지다보니 창을 열고 있으니 모기가 너무 많이 들어오더라구요 방충망을 설치해주시던지 모기퇴치제라도 비치하면 좋지 않을까싶네요 그리고 결제시에 포인트 적립이 카드 분할 결제할땐 왜 안될까요 포인트 적립되는 타 매장들은 분할 결제시에도 포인트 적립 문제없었는데 이런 적은 처음봤어요 그래서 별 하나는 뺐습니다 두가지만 개선되면 자주갈꺼같아요,265,룸으로 이용했는데 화장실도 딸려 있어서 너무 편했어요 삼합 재료들이 신선해서 생각보다 맛있었고 음식은 5점이에요 다만 창 옆에 나무들이 우거지다보니 창을 열고 있으니 모기가 너무 많이 들어오더라고요 방충망을 설치해주시던지 모기 퇴치제라도 비치하면 좋지 않을까 싶네요 그리고 결제 시에 포인트 적립이 카드 분할 결제할 땐 왜 안 될까요 포인트 적립되는 타 매장들은 분할 결제 시에도 포인트 적립 문제없었는데 이런 적은 처음 봤어요 그래서 별 하나는 뺐습니다 두 가지만 개선되면 자주 갈 거 같아요,1,1,0,1,1,1,0,1,6
