Store_name,Date,Review,Photo
백억하누 강남본점,22.1.11,너무 이쁘고 깔끔하게 잘 해놨네요 웃음 고기도 너무 맛있습니다,1
백억하누 강남본점,22.1.11,"소고기 너무 맛나요~하트 인테리어, 분위기 좋네요",1
백억하누 강남본점,22.1.11,코시국에 룸이 있어 좋습니다,0
백억하누 강남본점,22.1.11,오늘 저녁은~~투뿔한우로!!! 찐 맛집입니다 웃음,1
백억하누 강남본점,22.1.11,룸이 겸비해서 있어 코로나로 부터 안전하게 먹을 수 있어 만족합니다,0
백억하누 강남본점,22.1.11,처음 와봤는데 맛있어서 하나 사갑니다 웃음 웃음,1
백억하누 강남본점,22.1.11,백억전복삼합 먹었는데 전복식감이👍👍 훌륭합니다,0
백억하누 강남본점,22.1.11,역시 투뿔한우는 달라도 다르네요👍👍👍,1
백억하누 강남본점,22.1.11,분위기 너무 좋아요 웃음,1
백억하누 강남본점,22.1.11,한우소고기국밥 먹으니 든든하네요 웃음,0
백억하누 강남본점,22.1.11,육회비빔밥 최고입니다 👍 하트 하트,0
백억하누 강남본점,22.1.11,점심으로도 부담 없이 즐길수 있습니다~ 그래서 더 좋은거 같앙ᆢ,1
백억하누 강남본점,22.1.11,설선물로 딱 제격이네요 웃음 좋아하시니 뿌듯해요,1
백억하누 강남본점,22.1.11,선물 세트 할인해서 한번 사갑니다! 설 선물로 딱 좋을듯 웃음,1
백억하누 강남본점,22.1.11,비쥬얼 완전 👍 맛도 👍 흠 잡을 곳이 없네요,1
백억하누 강남본점,22.1.11,룸이 있어서 코시국에 딱 좋은거 같습니다,0
백억하누 강남본점,22.1.11,설날 부모님 선물은 여기에서 사가봐요~ 너무 좋아하실듯요 웃음,1
백억하누 강남본점,22.1.11,"이쁘게 셋팅 잘 해주셔서 좋네요, 맛있어요",1
백억하누 강남본점,22.1.11,오늘 저녁은 여기서 알차게 먹구 갑니다!!!,1
백억하누 강남본점,22.1.11,맛있게 먹구 갑니다~ 백억하누~!,1
백억하누 강남본점,22.1.11,룸이 있어서 외식하는데 좋습니다 웃음,0
백억하누 강남본점,22.1.11,"너무 맛있어요, 하나사가봅니다 웃음",1
백억하누 강남본점,22.1.11,깔끔하고 청결한 식당입니다~ 맛있는 곳이네요 웃음,1
라그릴리아 SPC스퀘어점,22.1.11,파스타 맛집 ! 너무맛있어요,1
강남진해장,22.1.11,맛있어요,0
백억하누 강남본점,22.1.12,특별한 메뉴로 술한잔하기 좋은 곳입니다 웃음,1
라그릴리아 SPC스퀘어점,22.1.12,"음식이 맛있어요.
무난한 맛과 가격이라 소개팅이나 모임장소로 추천합니다.",1
백억하누 강남본점,22.1.15,고기상태가 너무 좋았고 6인까지 방문 가능하기때문에 가족들과 함께 다녀왔어요 흡연장소가 따로 마련되어있어서 너무 좋았습니다,0
백억하누 강남본점,22.1.15,"거리두기 완화로 6인까지 모임 가능해서
가족들이랑 밥 맛나게 먹고 왔네요 ~~ 웃음
식당도 깔끔하고 분위기도 좋아서 모두 만족했어용
고기도 신선하고 재방문의사 100%입니다하트",0
백억하누 강남본점,22.1.15,"남편이랑 다녀왔는데 너무 좋았어용 ~ 웃음
분위기도 좋고 고기도 넘 맛있었습니다 웃음
매장에서 한우선물세트도 구매 가능하대서
이번 설 선물로 한우세트 하려구요 ~~
고기질이 대박입니다!!👍🏼",0
백억하누 강남본점,22.1.15,"등심, 갈비살에 삼합까지~! 완전 퍼팩트였습니다",1
백억하누 강남본점,22.1.15,"룸이 있어 굉장히 좋은거 같아요, 안심하고 잘 먹고 가네요",0
백억하누 강남본점,22.1.15,너무 맛있네요,0
라그릴리아 SPC스퀘어점,22.1.15,"맛있어요
근데 매장 넘 춥네요",0
강남진해장,22.1.15,"강남권 양평식해장국 맛집!!
김치를 직접 담가서 더 맛있네요 웃음",0
강남진해장,22.1.15,"가격대비 좀 아쉽습니다
양지곰탕은 너무 짰고 내장탕은 가격에 비해 건더기가 적었어요 실망",0
강남진해장,22.1.17,친절하고맛집이네요,0
강남진해장,22.1.17,굿,0
백억하누 강남본점,22.1.2,직장 동료들과 술 한잔 하려고 들렀는데 전복 삼합 정말 맛있고 고소했어용 웃음 안주로 너무 좋았고 양도 푸짐하게 주시고 추천드립니당,1
백억하누 강남본점,22.1.2,"매장도 청결하고 특별한 날 방문하기 너무 좋은곳입니다 웃음
시댁가족들과 방문했는데 고기 질도 좋고 너무너무 만족해하셨어요.
재방문의사 100프로입니다!",1
백억하누 강남본점,22.1.2,가족 모임 왔는데 분위기도 넘 좋고 고기도 섬세하게 잘 구워주셔서 좋았습니당 음식도 진짜 맛있네요 하트,1
백억하누 강남본점,22.1.2,메뉴 고를줄 몰라서 이것저것 여쭤봤는데 양이랑 가격 적당한걸로 고를수 있게 도와주시고 음식이 빨리빨리 나와서 좋았습니다 웃음,1
백억하누 강남본점,22.1.2,부모님 모시고 갔는데 좋은 시간 만들어주셔서 감사해요 웃음 조용한 자리에 미리 세팅도 완료해서 준비해주셨고 고기도 처음부터 끝까지 맛있게 구워주셨어요!!!,1
백억하누 강남본점,22.1.2,"소고기랑 전복이 환상 궁합이에요 !!
소고기만먹고 느끼하려다가도 해산물 같이 먹으니까 깔끔해서 계속 입으로 들어가는~~~~
육회도 따로 시켜먹었는데 것도 부들부들하고 고소하니 너무 맛났어요!!",1
백억하누 강남본점,22.1.2,고기집 답지 않게 입구부터 분위기 있고 메뉴는 황제세트 먹었어요 !!!! 푸짐하고 다양하고 한번에 이것저것 다 먹어서 너무 만족해요 관자도 추가해서 먹었는데 이것도 짱맛!!,1
라그릴리아 SPC스퀘어점,22.1.2,좋아요~,0
백억하누 강남본점,22.1.21,친절해요,0
라그릴리아 SPC스퀘어점,22.1.21,좋아요,0
라그릴리아 SPC스퀘어점,22.1.21,음식도 너무 늦게 나오고 무엇보다 직원들이 너무 불친절해서 다시 방문하고 싶지 않아요. 불쾌한곳...,0
백억하누 강남본점,22.1.22,먹어봤던 소고기 중 제일 고급지고 맛있었음,0
백억하누 강남본점,22.1.22,친절하고 좋았어요,0
백억하누 강남본점,22.1.22,분위기 캡짱! 분위기도 좋으면서도 고기도 훌륭하네요,0
백억하누 강남본점,22.1.22,밑반찬도 맛있고 한우도 정말 맛있어요 웃음,1
백억하누 강남본점,22.1.22,실내도 실내지만 실외도 이쁘게 잘 되어있더라고요,1
백억하누 강남본점,22.1.22,백억하누 외관에 이끌려서 왔다가 맛있는 고기 먹구 가요~~,1
백억하누 강남본점,22.1.22,셀프바도 있고 맛있습니다 웃음,1
백억하누 강남본점,22.1.22,백억하누 왔다간 인증샷 남깁니다 웃음 완전 맛있네요,1
백억하누 강남본점,22.1.22,백억전복삼합 기가 막힙니다👍👍👍,0
백억하누 강남본점,22.1.22,맛나요,0
백억하누 강남본점,22.1.22,진정한 투뿔한우 하트 대박입니다,0
백억하누 강남본점,22.1.22,매장 크고 깔끔하니 분위기도 조으네여,1
백억하누 강남본점,22.1.22,고기 땟깔이 아주 남다르네요 웃음,1
백억하누 강남본점,22.1.22,한우불고기랑 된장찌개 먹었음,0
백억하누 강남본점,22.1.22,인테리어 세련되면서 깔끔하게 잘 되있어요,1
백억하누 강남본점,22.1.22,추천! 투뿔한우 최고!,0
라그릴리아 SPC스퀘어점,22.1.23,맛있어요~,0
라그릴리아 SPC스퀘어점,22.1.24,좋아요,0
강남진해장,22.1.25,굿,0
백억하누 강남본점,22.1.26,전복삼합도 맛있었고 후식으로 먹은 누룽지&된장찌개도 맛있었어요!,0
라그릴리아 SPC스퀘어점,22.1.26,맛있게 먹었어요~ 예약은 안했지만 일찍가서 대기가 없었는데 담엔 예약하고 가야겠어요. 다먹고 나오니꺼 대기가...ㄷㄷㄷ 그리고 예약해야 창가자리나 구석자리 가능한거 같아요. 안그럼 중앙자리..실망스러울듯여,0
강남진해장,22.1.26,ㄱ,0
라그릴리아 SPC스퀘어점,22.1.27,강남에서 제일맛있어요,0
강남진해장,22.1.27,Good,0
백억하누 강남본점,22.1.28,굳,0
백억하누 강남본점,22.1.28,굿,0
강남진해장,22.1.28,👍,0
라그릴리아 SPC스퀘어점,22.1.3,맛있어요,0
라그릴리아 SPC스퀘어점,22.1.31,좋아요.,1
백억하누 강남본점,22.1.5,외관 인테리어 이쁘고 고기 완전 최상급이네요,1
백억하누 강남본점,22.1.5,백억전복삼합 기가 막힙니다~ 이만한 음식 또 없을듯..웃음,0
백억하누 강남본점,22.1.5,코로나로 인해 소독 잘 되어있어서 안심하고 편안히 먹구 가요,0
백억하누 강남본점,22.1.5,"매장도 넓고 다음번에는 가족들 데리고 와야겠어요, 룸이 있어 좋을 듯요",1
백억하누 강남본점,22.1.5,삼합 먹는 팁 그대로 보고 따라 먹으니 JMT...하트,1
백억하누 강남본점,22.1.5,깔끔하고 청결해서 더 마음에 들더라구욧 웃음,1
라그릴리아 SPC스퀘어점,22.1.5,맛있지만 가격이 비싸요,0
백억하누 강남본점,22.1.6,외관부터 남다르네요👍 소고기 먹구 싶을때는 여기로 올듯해요 웃음,1
백억하누 강남본점,22.1.6,소고기 질도 최상급인데다가 맛까지!! 입에서 살살 녹아버리네요ㅎ,0
백억하누 강남본점,22.1.6,재난지원금 되는줄 알았으면 진작 올걸 그랬네요~ 분위기 조코 맛도 👍,1
백억하누 강남본점,22.1.6,소고기는 백억하누가 진짜 맛집인듯 웃음 맛도 보장하고 분위기도 넘나 좋아요,1
백억하누 강남본점,22.1.6,흡연장소도 마련되어있고 백억하누같은 맛집 어디에도 없을듯요 웃음,1
백억하누 강남본점,22.1.6,몸보신 투뿔한우로 제대로하고 갑니다. 몸보신은 백억하누!!,1
백억하누 강남본점,22.1.6,투뿔한우👍 믿고 먹는 투뿔한우입니다 웃음 맛있어요,0
백억하누 강남본점,22.1.6,외관 내관 인테리어며 분위기 너무 이쁘게 잘했어요 웃음 추천드려요,1
백억하누 강남본점,22.1.6,선물도 해도 좋을듯 합니다~ 맛이 너무 좋네요 웃음,1
백억하누 강남본점,22.1.6,고기는 역시나~ 백억하누!!! 너무 맛있었어요~,0
백억하누 강남본점,22.1.6,인테리어 굿굿 분위기 굿굿 고기도 맛나네요 웃음,1
백억하누 강남본점,22.1.6,너무 이쁘게 잘 해 놨습니다 웃음 👍 잘 먹구갑니다~,1
백억하누 강남본점,22.1.6,고기로 몸보신하고 갑니다 웃음 맛있네요 역시 투뿔!!,0
백억하누 강남본점,22.1.6,모범음식점이 분명합니다! 친절하고 서비스도 좋아요 기대 이상 웃음,1
백억하누 강남본점,22.1.6,전복이 들어가서 그런지 국물이 끝내주네요. 전복 갈비탕 맛있어요 웃음,0
백억하누 강남본점,22.1.6,너무 이뻐서 한컷 남깁니다 웃음 분위기도 짱짱!,1
백억하누 강남본점,22.1.6,분위기 넘 나 좋음요~ 고기도 굿굿입니다,0
백억하누 강남본점,22.1.6,돌솥비빔밥 JMT 양도 많아요,0
백억하누 강남본점,22.1.6,한우 맛집 추천합니다!,0
백억하누 강남본점,22.1.6,투뿔 한우여서 그런지 차원이 다릅니다 웃음,0
백억하누 강남본점,22.1.6,분위기 좋고 맛도 최상입니다~,0
백억하누 강남본점,22.1.6,이래서 투뿔한우 먹나봐요 웃음 기가 막히네요,0
백억하누 강남본점,22.1.6,깔끔하고 분위기도 좋고 고기도 맛있어요,0
백억하누 강남본점,22.1.6,고기 디따 맛있어여~ 몸보신 지대로 하고 가요~,0
백억하누 강남본점,22.1.6,고깃집이 이렇게 분위기가 좋을수 있나요?ㅎ 고기도 맛있고 좋네요,0
라그릴리아 SPC스퀘어점,22.1.6,맛있어요,0
라그릴리아 SPC스퀘어점,22.1.7,맛있어요,1
강남진해장,22.1.7,친절하고잘설명함,0
강남진해장,22.1.7,음식이 맛있습니다,0
라그릴리아 SPC스퀘어점,22.1.8,맛도 좋고 조용해서 더 좋은 곳. 디저트에 커피까지 마시고 왔네요. 강남역에서 그나마 사람 많이 안다니는 출구쪽이라 좋아요.,0
백억하누 강남본점,22.1.9,예약하고 방문했습니다~~ 서비스 좋으시고 친절하시네요,1
백억하누 강남본점,22.1.9,룸이 있어서 코로나로 인한 걱정은 안해도 되서 좋았어요 웃음,0
백억하누 강남본점,22.1.9,화사한 햇살 아래서 맛있는 투뿔한우 먹구 갑니다 웃음 좋아요,1
백억하누 강남본점,22.1.9,"아주 마싯어요 고기도 엄청 부드럽고 몸보신하기 좋아요
다음에 또 갈께용",0
라그릴리아 SPC스퀘어점,22.1.9,"분위기좋고 맛은 중간, 런치세트메뉴 가성비는 좀 안좋네여",0
강남진해장,22.1.9,대졸맛탱구링,1
백억하누 강남본점,22.2.11,분위기 너무 화사하고 좋습니다 웃음,1
백억하누 강남본점,22.2.11,"간만에 소고기 엄청 먹음요, 투뿔한우👍👍👍",0
백억하누 강남본점,22.2.11,코시국임에도 불구하고 룸 있어서 편히 먹고 옴,0
백억하누 강남본점,22.2.11,처음 와봤는데 분위기도 좋고 맛집이 분명하네요,1
백억하누 강남본점,22.2.11,가족들이랑 외식하기 너무 괜찮은거 같아요 하트,1
백억하누 강남본점,22.2.11,점심으로 갈비탕 후딱 먹고 갔네요,0
백억하누 강남본점,22.2.11,"만족스러운 식사 하고 가요 매장도 청결하고
음식이 신선한 재료로만 만든다는게 느껴져서 다음에도 또 방문하고싶은 마음200%!",0
백억하누 강남본점,22.2.11,"맛있고 든든한 식사 잘먹고갑니다
다음에도 근처에 들르면 꼭 먹으러올게요~~",0
백억하누 강남본점,22.2.11,볼일보러 근처 들렸다 보여서 들어갔는데 넘 맛있었어요 ㅎ든든하게 한끼 잘챙기고 가요~~!,0
백억하누 강남본점,22.2.11,단체모임 가족모임 하기 좋은 장소네요! 즐겁게 먹다 가요~,0
백억하누 강남본점,22.2.11,좋은 재료를 사용하셔서 밑반찬부터 소고기까지 다 맛있는것 같아요!! 매장도 넓고 좋네요~,0
백억하누 강남본점,22.2.11,모임 있어서 알아보고 방문했는데 매장도 청결하니 맛도 좋네요!,1
라그릴리아 SPC스퀘어점,22.2.12,친절해요,1
강남진해장,22.2.16,맛있어요,0
강남진해장,22.2.16,굿,0
백억하누 강남본점,22.2.17,친절하고 깨끗함,0
백억하누 강남본점,22.2.17,고기 맛이 아주 좋아요 하트,0
백억하누 강남본점,22.2.17,꽃갈비 대박입니다👍,0
백억하누 강남본점,22.2.17,백억전복삼합 먹으러 왔네요~ 완전 짱인듯,0
백억하누 강남본점,22.2.17,진짜 이만한 맛집 또 없을 듯 웃음,0
백억하누 강남본점,22.2.17,가게에 룸이 있어 굉장히 좋았습니다,0
백억하누 강남본점,22.2.17,맛있는 투뿔한우 먹고 왔습니다 하트,0
백억하누 강남본점,22.2.17,가족들이랑 외식하기 너무 딱 좋은거 같네요 웃음,0
백억하누 강남본점,22.2.17,백억전복삼합 👍👍👍,0
백억하누 강남본점,22.2.17,소고기 질이 끝내주네요. 역시 투뿔은 투뿔인듯,0
백억하누 강남본점,22.2.17,가족들이랑 외식하기 딱 좋은 곳,0
백억하누 강남본점,22.2.17,간만에 소고기로 몸보신했어요,0
백억하누 강남본점,22.2.17,"역시 달라도 다르네요, 투뿔한우 하트",0
백억하누 강남본점,22.2.17,전복갈비탕으로 든든한 식사 해결합니다,0
백억하누 강남본점,22.2.17,룸이 있어서 외식하기 좋은듯 합니다,0
백억하누 강남본점,22.2.17,맛있어요~,0
백억하누 강남본점,22.2.17,친절하고 매장도 깔끔해여,0
백억하누 강남본점,22.2.17,환기도 잘되고 깨끗하고 청결해요,0
백억하누 강남본점,22.2.17,소고기 먹고프면 여기로 올듯요 웃음,0
백억하누 강남본점,22.2.17,친절하고 투뿔한우 완전 고급짐,0
백억하누 강남본점,22.2.17,가족들이랑 오래만에 소고기 먹었어요 웃음,0
백억하누 강남본점,22.2.18,"고기 질이 왜이리 좋나요, 굿굿",0
백억하누 강남본점,22.2.18,매장이 넓은데다가 환기도 잘 되서 좋네요,1
백억하누 강남본점,22.2.18,진정한 투뿔한우의 맛을 느끼는 곳~하트,1
